,Name,Primary Attribute,Roles,Herald Picks,Herald Wins,Herald Win Rate,Guardian Picks,Guardian Wins,Guardian Win Rate,Crusader Picks,Crusader Wins,Crusader Win Rate,Archon Picks,Archon Wins,Archon Win Rate,Legend Picks,Legend Wins,Legend Win Rate,Ancient Picks,Ancient Wins,Ancient Win Rate,Divine Picks,Divine Wins,Divine Win Rate,Immortal Picks,Immortal Wins,Immortal Win Rate
20,Dark Seer,all,"Initiator, Escape, Disabler",665,339,50.98,5020,2690,53.59,13500,7289,53.99,18389,10041,54.6,14817,8134,54.9,8563,4680,54.65,4631,2470,53.34,2757,1492,54.12
21,Dark Willow,all,"Support, Nuker, Disabler, Escape",2048,1038,50.68,12042,5977,49.63,24313,12184,50.11,25841,12876,49.83,15865,7851,49.49,7371,3810,51.69,3643,1837,50.43,1533,757,49.38
22,Dawnbreaker,str,"Carry, Durable",844,398,47.16,6167,3080,49.94,15305,7659,50.04,19600,9869,50.35,13640,7019,51.46,6949,3622,52.12,3398,1752,51.56,1638,885,54.03
23,Dazzle,all,"Support, Nuker, Disabler",1539,746,48.47,12333,6003,48.67,30395,14558,47.9,31769,15285,48.11,16901,7887,46.67,6498,2963,45.6,2410,1145,47.51,726,340,46.83
24,Death Prophet,int,"Carry, Pusher, Nuker, Disabler",1017,470,46.21,5083,2450,48.2,9598,4546,47.36,9088,4350,47.87,5500,2673,48.6,2576,1319,51.2,1316,667,50.68,755,378,50.07
25,Disruptor,int,"Support, Disabler, Nuker, Initiator",1371,682,49.74,11742,5784,49.26,32200,16221,50.38,40914,20405,49.87,27473,13745,50.03,12992,6447,49.62,6194,3087,49.84,2832,1399,49.4
26,Doom,str,"Carry, Disabler, Initiator, Durable, Nuker",905,388,42.87,6486,2653,40.9,16493,6820,41.35,19364,7680,39.66,12567,4955,39.43,5761,2272,39.44,2796,1109,39.66,1228,498,40.55
27,Dragon Knight,str,"Carry, Pusher, Durable, Disabler, Initiator, Nuker",1589,791,49.78,9567,4597,48.05,20931,9955,47.56,21026,9732,46.29,12252,5637,46.01,5043,2323,46.06,2055,926,45.06,705,318,45.11
28,Drow Ranger,agi,"Carry, Disabler, Pusher",4887,2526,51.69,29962,15465,51.62,61931,32002,51.67,63222,32526,51.45,37173,18911,50.87,16623,8327,50.09,7408,3670,49.54,2954,1404,47.53
29,Earth Spirit,str,"Nuker, Escape, Disabler, Initiator, Durable",515,252,48.93,3514,1610,45.82,9339,4183,44.79,12509,5922,47.34,9037,4233,46.84,4696,2272,48.38,2345,1149,49.0,1252,651,52.0
30,Earthshaker,str,"Support, Initiator, Disabler, Nuker",3238,1622,50.09,20769,10212,49.17,47198,23716,50.25,53891,27492,51.01,34751,17972,51.72,16198,8409,51.91,7605,3954,51.99,2883,1527,52.97
31,Elder Titan,str,"Initiator, Disabler, Nuker, Durable",431,219,50.81,2743,1415,51.59,6382,3283,51.44,7472,4030,53.93,5279,2867,54.31,2835,1583,55.84,1568,883,56.31,984,541,54.98
32,Ember Spirit,agi,"Carry, Escape, Nuker, Disabler, Initiator",1820,830,45.6,13014,5984,45.98,34496,16218,47.01,43514,21008,48.28,30904,15243,49.32,15398,7614,49.45,7754,3915,50.49,4426,2223,50.23
33,Enchantress,int,"Support, Pusher, Durable, Disabler",2003,929,46.38,10418,4802,46.09,19569,8923,45.6,19343,8608,44.5,12023,5308,44.15,5524,2372,42.94,2945,1330,45.16,1737,770,44.33
34,Enigma,all,"Disabler, Initiator, Pusher",1599,804,50.28,9154,4381,47.86,19006,9364,49.27,18864,9233,48.95,11361,5726,50.4,5182,2608,50.33,2651,1329,50.13,1812,931,51.38
35,Faceless Void,agi,"Carry, Initiator, Disabler, Escape, Durable",3260,1502,46.07,22100,10478,47.41,51022,24659,48.33,54767,26584,48.54,33882,16703,49.3,15233,7659,50.28,7190,3720,51.74,3526,1780,50.48
36,Grimstroke,int,"Support, Nuker, Disabler, Escape",1143,566,49.52,8330,4273,51.3,21078,10595,50.27,24911,12689,50.94,15644,7899,50.49,6591,3259,49.45,2804,1356,48.36,864,413,47.8
37,Gyrocopter,agi,"Carry, Nuker, Disabler",1138,563,49.47,7928,3768,47.53,20087,9771,48.64,23103,11193,48.45,13408,6448,48.09,5420,2608,48.12,2030,979,48.23,679,323,47.57
38,Hoodwink,agi,"Support, Nuker, Escape, Disabler",1740,798,45.86,12100,5833,48.21,29236,14186,48.52,31827,15185,47.71,17996,8535,47.43,7174,3358,46.81,2783,1322,47.5,800,378,47.25
39,Huskar,str,"Carry, Durable, Initiator",3431,1590,46.34,16601,7806,47.02,30106,14343,47.64,28755,14254,49.57,16741,8434,50.38,7927,4039,50.95,3892,2091,53.73,2410,1271,52.74
40,Invoker,int,"Carry, Nuker, Disabler, Escape, Pusher",2774,1263,45.53,19805,9335,47.13,48897,23620,48.31,57050,28033,49.14,34650,17193,49.62,15247,7648,50.16,6552,3323,50.72,2202,1078,48.96
41,Io,all,"Support, Escape, Nuker",982,448,45.62,6314,3007,47.62,14067,6908,49.11,15570,7684,49.35,10110,5037,49.82,4964,2498,50.32,2647,1357,51.27,1321,663,50.19
42,Jakiro,int,"Support, Nuker, Pusher, Disabler",2252,1246,55.33,17871,9706,54.31,46481,24968,53.72,55811,29906,53.58,34304,18239,53.17,14813,7886,53.24,6538,3461,52.94,2107,1091,51.78
43,Juggernaut,agi,"Carry, Pusher, Escape",5334,2723,51.05,34877,17986,51.57,81691,42465,51.98,92615,48180,52.02,57173,29536,51.66,25474,12905,50.66,11548,5739,49.7,4106,1958,47.69
44,Keeper of the Light,int,"Support, Nuker, Disabler",813,367,45.14,5119,2328,45.48,11072,4973,44.92,12377,5726,46.26,7630,3601,47.2,3658,1663,45.46,1835,896,48.83,1112,540,48.56
45,Kunkka,str,"Carry, Support, Disabler, Initiator, Durable, Nuker",1540,749,48.64,9514,4542,47.74,20581,9999,48.58,22251,11120,49.98,12788,6500,50.83,5040,2513,49.86,2145,1113,51.89,615,315,51.22
46,Legion Commander,str,"Carry, Disabler, Initiator, Durable, Nuker",5649,3165,56.03,38774,21461,55.35,92054,50989,55.39,102836,57282,55.7,63959,35590,55.65,28976,16046,55.38,13733,7731,56.3,6435,3507,54.5
47,Leshrac,int,"Carry, Support, Nuker, Pusher, Disabler",606,290,47.85,4065,1952,48.02,9239,4339,46.96,10971,5275,48.08,7717,3743,48.5,4080,1983,48.6,2314,1185,51.21,1818,963,52.97
48,Lich,int,"Support, Nuker",2371,1232,51.96,17090,9119,53.36,42728,22919,53.64,53404,28260,52.92,36444,19225,52.75,17596,9140,51.94,8785,4502,51.25,3713,1927,51.9
49,Lifestealer,str,"Carry, Durable, Escape, Disabler",2166,1084,50.05,13854,6747,48.7,30136,14903,49.45,30323,14939,49.27,16648,8283,49.75,6571,3283,49.96,2298,1120,48.74,580,285,49.14
50,Lina,int,"Support, Carry, Nuker, Disabler",2441,1023,41.91,12476,5477,43.9,24639,10971,44.53,25786,11554,44.81,17074,7788,45.61,8041,3763,46.8,3704,1725,46.57,1593,707,44.38
51,Lion,int,"Support, Disabler, Nuker, Initiator",5177,2519,48.66,35263,16725,47.43,79585,37574,47.21,82299,38646,46.96,47378,22548,47.59,19789,9413,47.57,8516,4126,48.45,3341,1630,48.79
52,Lone Druid,all,"Carry, Pusher, Durable",526,251,47.72,3206,1536,47.91,6646,3191,48.01,6772,3356,49.56,4274,2154,50.4,2055,1025,49.88,1027,505,49.17,494,267,54.05
53,Luna,agi,"Carry, Nuker, Pusher",1597,773,48.4,8907,4246,47.67,16872,8087,47.93,16018,7677,47.93,8651,4020,46.47,3684,1759,47.75,1514,743,49.08,542,249,45.94
54,Lycan,all,"Carry, Pusher, Durable, Escape",410,172,41.95,2708,1322,48.82,6214,3056,49.18,7626,3773,49.48,5577,2720,48.77,2993,1494,49.92,1680,815,48.51,1145,594,51.88
55,Magnus,all,"Initiator, Disabler, Nuker, Escape",759,304,40.05,6713,2954,44.0,21764,9570,43.97,31783,14149,44.52,22873,10424,45.57,10844,5000,46.11,4535,2106,46.44,1447,662,45.75
56,Marci,all,"Support, Carry, Initiator, Disabler, Escape",865,383,44.28,5116,2220,43.39,11202,4868,43.46,12482,5523,44.25,8370,3707,44.29,4075,1901,46.65,1956,927,47.39,1004,481,47.91
57,Mars,str,"Carry, Initiator, Disabler, Durable",824,378,45.87,6445,2889,44.83,18934,8836,46.67,26903,12366,45.97,20710,9807,47.35,10837,5060,46.69,5503,2553,46.39,2797,1270,45.41
58,Medusa,agi,"Carry, Disabler, Durable",2723,1363,50.06,18287,9427,51.55,42513,21627,50.87,47464,24508,51.63,29658,15174,51.16,13475,6781,50.32,6280,3193,50.84,3235,1617,49.98
59,Meepo,agi,"Carry, Escape, Nuker, Disabler, Initiator, Pusher",1364,758,55.57,7154,3901,54.53,14578,7932,54.41,17470,9675,55.38,13098,7278,55.57,7084,4031,56.9,3898,2248,57.67,2375,1357,57.14
60,Mirana,all,"Carry, Support, Escape, Nuker, Disabler",1986,1030,51.86,15426,7856,50.93,41259,20501,49.69,48228,24108,49.99,30278,15082,49.81,13649,6853,50.21,6091,2972,48.79,2511,1224,48.75
61,Monkey King,agi,"Carry, Escape, Disabler, Initiator",2799,1221,43.62,16977,7658,45.11,37345,16768,44.9,41778,19032,45.56,27588,12826,46.49,13225,6274,47.44,6487,3077,47.43,3033,1500,49.46
62,Morphling,agi,"Carry, Escape, Durable, Nuker, Disabler",1805,836,46.32,12133,5628,46.39,29569,13342,45.12,35003,15437,44.1,24835,11216,45.16,12567,5713,45.46,6872,3071,44.69,3876,1783,46.0
63,Muerta,int,"Carry, Nuker, Disabler",1612,789,48.95,8749,4463,51.01,18404,9565,51.97,21065,10869,51.6,14139,7149,50.56,6590,3385,51.37,2962,1495,50.47,1184,599,50.59
64,Naga Siren,agi,"Carry, Support, Pusher, Disabler, Initiator, Escape",1991,1071,53.79,10423,5648,54.19,18427,9930,53.89,17966,9673,53.84,11566,6336,54.78,6108,3329,54.5,3825,2124,55.53,2960,1669,56.39
65,Nature's Prophet,int,"Carry, Pusher, Escape, Nuker",2048,933,45.56,11061,4787,43.28,18353,7631,41.58,14385,6022,41.86,6908,2861,41.42,2506,1068,42.62,1110,474,42.7,452,178,39.38
66,Necrophos,int,"Carry, Nuker, Durable, Disabler",3201,1739,54.33,21597,11413,52.85,49369,26393,53.46,52598,27787,52.83,31111,16263,52.27,13115,6818,51.99,5811,2926,50.35,1828,923,50.49
67,Night Stalker,str,"Carry, Initiator, Durable, Disabler, Nuker",725,338,46.62,5249,2533,48.26,12624,6129,48.55,14663,7409,50.53,9380,4684,49.94,4025,2062,51.23,1829,932,50.96,534,269,50.37
68,Nyx Assassin,all,"Disabler, Nuker, Initiator, Escape",1826,893,48.9,14706,7480,50.86,36740,18682,50.85,45796,23663,51.67,30822,16026,52.0,14344,7397,51.57,6817,3558,52.19,2758,1394,50.54
69,Ogre Magi,str,"Support, Nuker, Disabler, Durable, Initiator",4037,2102,52.07,28960,15062,52.01,62860,32239,51.29,60840,30862,50.73,32322,16292,50.41,11924,5974,50.1,4309,2069,48.02,1094,504,46.07
70,Omniknight,str,"Support, Durable, Nuker",946,487,51.48,7593,3956,52.1,20917,10937,52.29,26971,14304,53.03,17803,9305,52.27,7851,4101,52.24,3462,1774,51.24,1131,586,51.81
71,Oracle,int,"Support, Nuker, Disabler, Escape",769,371,48.24,5849,2935,50.18,17234,8810,51.12,24418,13013,53.29,18683,10062,53.86,10199,5579,54.7,5166,2725,52.75,2542,1378,54.21
72,Outworld Destroyer,int,"Carry, Nuker, Disabler",1421,678,47.71,10063,4995,49.64,26038,12924,49.64,32665,16661,51.01,21385,11025,51.55,9778,4967,50.8,4135,2075,50.18,1325,653,49.28
73,Pangolier,all,"Carry, Nuker, Disabler, Durable, Escape, Initiator",781,334,42.77,5282,2391,45.27,14379,6566,45.66,20418,9322,45.66,16344,7682,47.0,9192,4320,47.0,5043,2440,48.38,3128,1526,48.79
74,Phantom Assassin,agi,"Carry, Escape",5611,2654,47.3,32945,15851,48.11,65567,31156,47.52,62990,29659,47.09,33687,15738,46.72,12857,5884,45.76,5147,2401,46.65,1482,698,47.1
75,Phantom Lancer,agi,"Carry, Escape, Pusher, Nuker",2952,1549,52.47,18654,9869,52.91,40446,21729,53.72,44019,23576,53.56,28356,15246,53.77,13387,7247,54.13,6465,3380,52.28,3212,1654,51.49
76,Phoenix,all,"Support, Nuker, Initiator, Escape, Disabler",548,262,47.81,4046,1927,47.63,10999,5224,47.5,13678,6548,47.87,9596,4524,47.14,4704,2228,47.36,2351,1102,46.87,1210,587,48.51
77,Primal Beast,str,"Initiator, Durable, Disabler",1072,527,49.16,8093,3887,48.03,20768,10112,48.69,27214,13300,48.87,21093,10412,49.36,11102,5680,51.16,6088,3077,50.54,3963,2033,51.3
78,Puck,int,"Initiator, Disabler, Escape, Nuker",758,368,48.55,5384,2422,44.99,15207,7101,46.7,21897,10347,47.25,16451,7906,48.06,8412,4113,48.89,4093,2012,49.16,1854,884,47.68
79,Pudge,str,"Disabler, Initiator, Durable, Nuker",6626,3346,50.5,47401,23641,49.87,110953,55123,49.68,120800,60097,49.75,74913,37251,49.73,34866,17196,49.32,16630,8314,49.99,5818,2837,48.76
80,Pugna,int,"Nuker, Pusher",2238,1036,46.29,13592,6348,46.7,31780,15391,48.43,38225,18964,49.61,25668,12929,50.37,12458,6280,50.41,6337,3178,50.15,3640,1921,52.77
81,Queen of Pain,int,"Carry, Nuker, Escape",1726,899,52.09,12427,5894,47.43,32958,15947,48.39,41988,20717,49.34,29128,14493,49.76,13892,6969,50.17,6819,3423,50.2,3139,1525,48.58
82,Razor,agi,"Carry, Durable, Nuker, Pusher",1622,801,49.38,8937,4508,50.44,18181,9032,49.68,20682,10476,50.65,13179,6582,49.94,6318,3211,50.82,3057,1536,50.25,1241,632,50.93
83,Riki,agi,"Carry, Escape, Disabler",2558,1317,51.49,14390,7476,51.95,27376,14491,52.93,25275,13342,52.79,14287,7515,52.6,5973,3117,52.18,2728,1462,53.59,1049,566,53.96
84,Rubick,int,"Support, Disabler, Nuker",2828,1236,43.71,22309,10074,45.16,62178,27755,44.64,81368,37151,45.66,57193,26326,46.03,27512,12914,46.94,13228,6231,47.1,6227,2998,48.15
85,Sand King,all,"Initiator, Disabler, Support, Nuker, Escape",1815,986,54.33,11609,6316,54.41,24927,13206,52.98,26369,13715,52.01,15798,8160,51.65,6398,3243,50.69,2573,1268,49.28,824,417,50.61
86,Shadow Demon,int,"Support, Disabler, Initiator, Nuker",449,200,44.54,3564,1616,45.34,9153,4369,47.73,11897,5783,48.61,8658,4207,48.59,4556,2240,49.17,2325,1178,50.67,1392,708,50.86
87,Shadow Fiend,agi,"Carry, Nuker",4363,2231,51.13,26856,13625,50.73,60810,30663,50.42,66525,33513,50.38,40046,20023,50.0,17385,8531,49.07,7567,3626,47.92,2640,1239,46.93
88,Shadow Shaman,int,"Support, Pusher, Disabler, Nuker, Initiator",4025,2035,50.56,25270,12685,50.2,50888,25500,50.11,47227,23461,49.68,24231,12100,49.94,9216,4497,48.8,3327,1652,49.65,845,415,49.11
89,Silencer,int,"Carry, Support, Disabler, Initiator, Nuker",3602,1942,53.91,27195,14786,54.37,64333,34672,53.89,67484,35674,52.86,37785,19834,52.49,15360,7984,51.98,6706,3450,51.45,2405,1216,50.56
90,Skywrath Mage,int,"Support, Nuker, Disabler",3703,2012,54.33,24611,13098,53.22,53791,28441,52.87,58484,30708,52.51,36611,19207,52.46,17553,9282,52.88,8938,4734,52.96,4796,2516,52.46
91,Slardar,str,"Carry, Durable, Initiator, Disabler, Escape",2088,1063,50.91,12520,6316,50.45,25595,12887,50.35,24166,11969,49.53,12460,6126,49.17,4757,2333,49.04,1801,894,49.64,545,260,47.71
92,Slark,agi,"Carry, Escape, Disabler, Nuker",4444,2428,54.64,30689,15817,51.54,72377,36435,50.34,79082,39871,50.42,48386,24435,50.5,21652,10937,50.51,10234,5212,50.93,4490,2290,51.0
93,Snapfire,all,"Support, Nuker, Disabler, Escape",1711,791,46.23,14622,6854,46.87,42141,19754,46.88,58261,27473,47.16,42983,20400,47.46,21910,10399,47.46,10854,5097,46.96,5643,2654,47.03
94,Sniper,agi,"Carry, Nuker",6431,3276,50.94,39652,20033,50.52,82403,42126,51.12,77716,39692,51.07,38772,19515,50.33,13941,6934,49.74,4706,2296,48.79,1073,534,49.77
95,Spectre,agi,"Carry, Durable, Escape",2074,1188,57.28,14825,8195,55.28,34395,18791,54.63,35166,18875,53.67,18647,9931,53.26,7236,3827,52.89,2583,1370,53.04,646,327,50.62
96,Spirit Breaker,str,"Carry, Initiator, Disabler, Durable, Escape",4584,2368,51.66,30736,15634,50.87,72241,36888,51.06,84470,42876,50.76,56328,28555,50.69,27200,13886,51.05,13499,6851,50.75,6534,3424,52.4
97,Storm Spirit,int,"Carry, Escape, Nuker, Initiator, Disabler",2374,1122,47.26,14797,7033,47.53,35432,16952,47.84,42327,20242,47.82,29035,13975,48.13,14215,7022,49.4,6846,3301,48.22,3627,1731,47.73
98,Sven,str,"Carry, Disabler, Initiator, Durable, Nuker",2318,1129,48.71,13167,6668,50.64,24988,12556,50.25,24191,12245,50.62,14148,7165,50.64,6157,3163,51.37,2934,1560,53.17,1460,763,52.26
99,Techies,all,"Nuker, Disabler",3145,1570,49.92,20831,10292,49.41,51052,25047,49.06,61090,29624,48.49,41379,20248,48.93,19645,9450,48.1,9272,4552,49.09,5003,2431,48.59
100,Templar Assassin,agi,"Carry, Escape",2080,892,42.88,11176,4881,43.67,23865,10831,45.38,26133,12055,46.13,17764,8381,47.18,9074,4334,47.76,4978,2438,48.98,2895,1416,48.91
101,Terrorblade,agi,"Carry, Pusher, Nuker",1023,488,47.7,6126,2824,46.1,12292,5705,46.41,12868,5938,46.15,8391,3881,46.25,4347,2063,47.46,2325,1105,47.53,1522,697,45.8
102,Tidehunter,str,"Initiator, Durable, Disabler, Nuker, Carry",1448,674,46.55,10029,4893,48.79,25615,12611,49.23,30483,14744,48.37,19541,9524,48.74,8911,4220,47.36,4003,1829,45.69,1814,887,48.9
103,Timbersaw,all,"Nuker, Durable, Escape",1792,861,48.05,12155,5822,47.9,30893,14618,47.32,38378,18177,47.36,27151,12741,46.93,14135,6586,46.59,7405,3475,46.93,4147,1916,46.2
104,Tinker,int,"Carry, Nuker, Pusher",2212,1050,47.47,13821,7002,50.66,32768,16838,51.39,37911,20021,52.81,24257,12938,53.34,11520,6310,54.77,5816,3142,54.02,2433,1325,54.46
105,Tiny,str,"Carry, Nuker, Pusher, Initiator, Durable, Disabler",1328,589,44.35,7891,3493,44.27,16659,7276,43.68,18672,8364,44.79,12284,5569,45.34,5884,2672,45.41,2823,1332,47.18,1462,685,46.85
106,Treant Protector,str,"Support, Initiator, Durable, Disabler, Escape",1038,518,49.9,6631,3367,50.78,14764,7385,50.02,15064,7541,50.06,8389,4261,50.79,3652,1832,50.16,1703,858,50.38,697,357,51.22
107,Troll Warlord,agi,"Carry, Pusher, Disabler, Durable",2496,1251,50.12,11204,5697,50.85,17549,8823,50.28,14748,7390,50.11,7741,3751,48.46,3330,1648,49.49,1411,695,49.26,519,268,51.64
108,Tusk,str,"Initiator, Disabler, Nuker",1007,462,45.88,7404,3343,45.15,18034,8064,44.72,22011,9982,45.35,15195,7041,46.34,7474,3488,46.67,3307,1537,46.48,1302,570,43.78
109,Underlord,str,"Support, Nuker, Disabler, Durable, Escape",826,442,53.51,6111,3187,52.15,16122,8655,53.68,19233,10033,52.17,12192,6243,51.21,5560,2809,50.52,2416,1199,49.63,845,409,48.4
110,Undying,str,"Support, Durable, Disabler, Nuker",3064,1622,52.94,23674,12733,53.78,56780,31042,54.67,62206,33946,54.57,40048,21813,54.47,19118,10333,54.05,9749,5193,53.27,5822,3044,52.28
111,Ursa,agi,"Carry, Durable, Disabler",1981,915,46.19,11827,5455,46.12,26786,12450,46.48,29547,13774,46.62,18630,8768,47.06,8602,4142,48.15,3813,1818,47.68,1350,669,49.56
112,Vengeful Spirit,all,"Support, Initiator, Disabler, Nuker, Escape",1020,481,47.16,7422,3561,47.98,18738,8933,47.67,22646,10945,48.33,14558,6977,47.93,6637,3120,47.01,2697,1271,47.13,823,373,45.32
113,Venomancer,all,"Support, Nuker, Initiator, Pusher, Disabler",2106,1064,50.52,16203,8452,52.16,41177,21511,52.24,50212,26528,52.83,33188,17621,53.09,15584,8318,53.38,7571,4010,52.97,3602,1862,51.69
114,Viper,agi,"Carry, Durable, Initiator, Disabler",3110,1582,50.87,16042,7927,49.41,29303,14419,49.21,26406,13091,49.58,13093,6462,49.35,4912,2398,48.82,1947,964,49.51,670,322,48.06
115,Visage,all,"Support, Nuker, Durable, Disabler, Pusher",313,152,48.56,1853,906,48.89,4436,2259,50.92,5686,2882,50.69,4598,2423,52.7,2817,1504,53.39,1991,1024,51.43,1469,798,54.32
116,Void Spirit,all,"Carry, Escape, Nuker, Disabler",1246,594,47.67,7734,3562,46.06,18790,8939,47.57,24219,11425,47.17,17081,8122,47.55,8349,3981,47.68,3875,1792,46.25,1499,666,44.43
117,Warlock,int,"Support, Initiator, Disabler",1050,528,50.29,8073,4259,52.76,20087,10737,53.45,24315,12937,53.21,15235,7954,52.21,6560,3427,52.24,2987,1505,50.39,921,450,48.86
118,Weaver,agi,"Carry, Escape",2538,1230,48.46,13688,6674,48.76,24251,11934,49.21,21534,10525,48.88,11734,5777,49.23,5060,2517,49.74,2437,1220,50.06,1074,567,52.79
119,Windranger,all,"Carry, Support, Disabler, Escape, Nuker",3981,1936,48.63,27073,13417,49.56,64278,31931,49.68,76535,38393,50.16,52062,26514,50.93,25035,12885,51.47,12120,6175,50.95,5406,2748,50.83
120,Winter Wyvern,all,"Support, Disabler, Nuker",844,410,48.58,5887,2822,47.94,13572,6289,46.34,14900,7020,47.11,9421,4411,46.82,4525,2160,47.73,2265,1120,49.45,1097,550,50.14
121,Witch Doctor,int,"Support, Nuker, Disabler",5003,2603,52.03,35283,18351,52.01,78843,40485,51.35,78479,39408,50.21,41702,20228,48.51,15761,7648,48.52,5839,2760,47.27,1531,716,46.77
122,Wraith King,str,"Carry, Support, Durable, Disabler, Initiator",2794,1467,52.51,18659,9958,53.37,39857,21074,52.87,38791,20351,52.46,19036,9808,51.52,6467,3240,50.1,2202,1091,49.55,567,248,43.74
123,Zeus,int,"Nuker, Carry",3169,1615,50.96,19727,9933,50.35,43403,22003,50.69,45762,23049,50.37,26562,13246,49.87,11327,5554,49.03,4927,2455,49.83,1608,783,48.69
